city,area,bathroom,parking spaces,animal,furniture,rooms
1,440,2,4,acept,not furnished,1
1,55,2,2,acept,not furnished,2
0,70,2,1,not acept,furnished,1
1,370,4,3,acept,not furnished,5
1,157,3,1,acept,not furnished,3
1,176,3,3,acept,not furnished,3
0,78,1,1,acept,not furnished,3
1,35,1,0,not acept,not furnished,1
0,52,1,1,acept,not furnished,1
1,240,4,3,acept,not furnished,4
1,84,3,2,acept,not furnished,2
1,125,3,2,acept,not furnished,3
0,78,2,1,acept,not furnished,3
0,58,1,1,acept,furnished,2
1,113,2,2,acept,not furnished,3
1,52,1,1,not acept,not furnished,1
1,28,1,0,acept,not furnished,1
1,54,1,0,acept,not furnished,1
1,270,4,4,acept,not furnished,4
1,220,3,3,acept,not furnished,3
1,118,3,2,not acept,not furnished,3
1,92,2,1,not acept,not furnished,3
1,62,1,1,not acept,not furnished,2
1,250,4,3,acept,not furnished,3
0,750,5,5,not acept,not furnished,4
1,177,2,2,acept,not furnished,3
1,138,2,1,not acept,not furnished,3
1,140,2,1,acept,not furnished,3
1,450,5,6,not acept,furnished,4
1,167,3,3,acept,not furnished,3
1,30,1,1,not acept,furnished,1
1,120,2,0,acept,not furnished,3
0,60,1,1,acept,not furnished,2
1,210,3,4,acept,not furnished,3
1,49,1,1,acept,furnished,1
1,75,2,1,acept,furnished,2
1,109,2,1,acept,not furnished,3
1,57,2,0,acept,not furnished,1
1,100,2,2,acept,not furnished,4
1,70,2,2,not acept,furnished,2
1,250,2,8,acept,not furnished,3
1,103,2,2,acept,not furnished,3
1,90,2,2,not acept,not furnished,3
0,273,2,2,acept,furnished,4
1,37,1,0,not acept,furnished,1
1,61,1,1,acept,not furnished,2
1,64,2,1,not acept,not furnished,2
1,220,5,4,acept,not furnished,3
1,58,2,1,acept,not furnished,2
1,145,3,3,acept,not furnished,3
1,380,5,4,acept,not furnished,5
1,93,2,2,acept,not furnished,3
1,36,1,1,acept,not furnished,1
1,78,2,1,acept,furnished,2
1,38,1,1,acept,not furnished,2
0,101,2,2,acept,not furnished,3
1,400,5,5,acept,not furnished,4
1,65,1,0,acept,not furnished,2
1,248,4,3,acept,not furnished,3
1,360,5,6,acept,not furnished,3
1,47,1,1,acept,not furnished,2
1,56,1,1,acept,not furnished,1
1,190,3,1,acept,not furnished,3
1,69,1,1,acept,not furnished,3
1,235,2,2,acept,furnished,3
1,120,3,0,acept,furnished,3
1,70,1,1,acept,not furnished,1
1,196,5,3,acept,furnished,3
1,89,3,2,not acept,not furnished,3
1,33,1,1,acept,not furnished,1
1,68,2,1,acept,furnished,1
0,110,2,2,not acept,not furnished,3
1,40,1,1,not acept,furnished,1
0,999,7,8,acept,not furnished,5
1,33,1,0,not acept,not furnished,1
1,200,3,2,acept,furnished,4
1,82,2,2,acept,not furnished,2
1,240,2,2,acept,not furnished,4
0,58,1,0,acept,not furnished,1
1,80,2,1,not acept,furnished,2
1,300,2,6,acept,not furnished,4
1,400,5,3,acept,not furnished,4
1,161,3,2,acept,not furnished,4
1,365,5,6,acept,not furnished,4
1,120,3,2,not acept,not furnished,3
0,104,2,2,acept,furnished,2
1,180,1,5,acept,not furnished,3
1,48,1,1,not acept,furnished,1
1,138,3,2,acept,not furnished,2
1,350,3,4,acept,not furnished,4
1,255,3,2,acept,furnished,3
1,98,3,3,not acept,not furnished,2
0,136,5,2,acept,not furnished,4
1,190,3,4,acept,furnished,3
1,60,1,1,acept,not furnished,2
1,320,5,0,acept,furnished,4
1,40,1,0,acept,not furnished,2
1,100,1,0,acept,not furnished,4
1,90,1,0,not acept,not furnished,2
1,100,2,1,acept,not furnished,2
1,135,2,1,acept,not furnished,3
1,100,3,2,not acept,not furnished,3
1,65,1,0,acept,not furnished,3
1,387,6,4,acept,not furnished,4
1,235,3,1,acept,not furnished,3
0,50,1,1,not acept,not furnished,2
1,77,2,2,acept,not furnished,2
1,120,3,1,acept,not furnished,3
0,70,3,1,acept,not furnished,2
1,40,1,0,acept,not furnished,1
0,295,6,4,not acept,furnished,7
1,320,3,4,acept,not furnished,3
1,100,1,1,not acept,furnished,2
1,153,3,3,acept,not furnished,4
1,85,3,2,acept,not furnished,3
1,450,4,3,acept,not furnished,4
1,50,1,0,not acept,not furnished,1
1,90,2,1,acept,not furnished,2
0,32,1,0,not acept,not furnished,1
1,150,1,4,acept,not furnished,2
1,86,2,0,acept,furnished,3
1,230,5,3,not acept,not furnished,3
1,420,4,2,acept,not furnished,4
1,79,2,2,acept,furnished,3
1,400,4,4,acept,furnished,4
1,65,1,3,acept,not furnished,2
0,73,2,2,acept,not furnished,3
1,45,1,1,not acept,furnished,1
1,800,7,6,acept,not furnished,5
1,60,1,1,acept,furnished,2
1,137,3,3,acept,furnished,3
1,100,2,1,acept,not furnished,3
1,100,3,2,acept,not furnished,3
0,90,1,1,acept,not furnished,3
0,166,3,3,acept,not furnished,4
1,180,2,2,acept,not furnished,3
1,300,3,2,acept,furnished,2
1,150,3,2,acept,not furnished,3
1,60,1,1,acept,furnished,1
0,42,1,1,not acept,furnished,1
0,46,1,0,not acept,not furnished,1
1,40,1,1,not acept,not furnished,1
0,55,1,1,acept,not furnished,1
1,83,2,1,acept,not furnished,2
1,220,3,3,acept,not furnished,4
1,190,4,3,acept,not furnished,3
1,65,1,1,acept,not furnished,2
1,186,3,2,not acept,not furnished,3
1,80,1,0,acept,not furnished,1
1,175,4,3,acept,not furnished,3
1,95,2,0,acept,not furnished,3
1,86,1,1,acept,not furnished,3
1,300,4,3,acept,not furnished,4
1,108,3,2,acept,not furnished,4
0,45,1,1,acept,not furnished,1
1,37,1,0,not acept,not furnished,1
1,30,1,1,not acept,furnished,1
1,246,4,4,acept,furnished,3
1,234,5,3,not acept,furnished,3
1,73,2,1,acept,furnished,2
1,113,2,2,acept,not furnished,3
0,110,3,2,acept,not furnished,3
1,400,2,8,acept,furnished,3
1,29,1,0,not acept,not furnished,1
1,140,2,2,not acept,not furnished,2
1,28,1,1,not acept,furnished,1
1,200,3,3,acept,not furnished,3
1,20,1,0,not acept,not furnished,1
1,88,2,2,acept,furnished,3
1,40,1,1,acept,not furnished,1
1,150,2,2,acept,not furnished,3
1,187,2,3,acept,not furnished,3
1,51,1,1,acept,not furnished,1
1,62,2,1,not acept,furnished,2
1,150,2,4,acept,not furnished,3
1,48,1,1,not acept,furnished,1
0,60,1,1,not acept,not furnished,2
1,53,1,1,not acept,furnished,1
1,74,1,2,acept,furnished,2
1,53,1,0,not acept,not furnished,1
0,300,5,4,acept,not furnished,4
1,180,3,2,acept,not furnished,2
1,53,2,1,acept,furnished,2
0,296,4,8,acept,not furnished,6
1,145,3,2,acept,not furnished,4
1,230,3,3,acept,not furnished,3
1,420,4,4,acept,not furnished,4
1,34,1,0,acept,not furnished,1
1,27,1,1,not acept,not furnished,1
1,17,1,0,not acept,furnished,1
1,64,1,2,not acept,furnished,2
1,645,8,8,acept,not furnished,5
1,68,2,1,acept,not furnished,2
1,68,1,1,acept,furnished,1
1,134,3,3,acept,not furnished,3
1,43,1,0,acept,not furnished,1
1,48,1,2,acept,furnished,1
1,220,4,3,not acept,not furnished,5
1,600,5,6,acept,not furnished,5
1,260,4,3,acept,not furnished,3
1,250,4,0,acept,not furnished,3
1,126,2,2,not acept,not furnished,3
1,62,2,0,not acept,not furnished,2
1,68,1,0,not acept,not furnished,2
1,195,3,4,acept,not furnished,4
1,57,2,1,not acept,furnished,2
1,556,5,7,acept,not furnished,4
1,70,1,1,acept,not furnished,2
1,105,2,3,acept,not furnished,3
0,200,3,2,acept,not furnished,4
1,290,5,4,acept,furnished,3
1,90,2,1,not acept,furnished,2
1,94,2,2,not acept,furnished,1
1,130,4,2,not acept,not furnished,3
1,40,1,0,acept,not furnished,1
1,110,5,3,acept,not furnished,4
1,28,1,0,acept,furnished,1
1,240,3,3,acept,furnished,3
1,100,3,3,acept,not furnished,3
1,20,1,0,acept,not furnished,1
1,300,4,4,acept,furnished,4
1,16,1,0,not acept,not furnished,1
1,90,1,0,not acept,not furnished,2
1,90,3,2,acept,not furnished,3
1,39,1,0,acept,not furnished,2
0,578,5,8,acept,not furnished,4
1,180,2,1,not acept,not furnished,3
1,209,3,0,acept,not furnished,3
1,170,3,2,acept,not furnished,3
1,250,5,4,acept,not furnished,4
1,262,5,4,acept,not furnished,4
1,100,3,0,acept,not furnished,3
1,200,2,2,acept,not furnished,3
1,70,1,1,acept,not furnished,2
1,244,3,3,acept,not furnished,3
1,270,4,4,not acept,not furnished,5
1,45,1,0,not acept,not furnished,1
1,20,1,0,not acept,furnished,1
1,70,2,0,not acept,not furnished,2
0,130,2,5,acept,not furnished,2
0,104,2,1,acept,not furnished,2
1,65,1,1,not acept,not furnished,1
1,235,3,3,not acept,not furnished,3
1,200,4,2,acept,not furnished,3
1,150,2,1,acept,furnished,2
0,60,1,1,acept,not furnished,2
1,82,1,2,acept,not furnished,1
1,380,2,3,acept,not furnished,3
1,380,4,3,acept,not furnished,4
1,54,2,1,acept,not furnished,2
1,67,2,1,not acept,furnished,2
1,330,4,3,acept,not furnished,2
1,117,5,4,not acept,not furnished,4
0,200,3,5,acept,not furnished,3
1,305,3,0,acept,not furnished,2
1,53,2,2,acept,not furnished,2
0,170,3,2,acept,not furnished,4
1,50,1,1,acept,not furnished,1
1,250,2,3,not acept,furnished,4
1,164,2,1,acept,furnished,3
1,90,1,1,acept,not furnished,2
0,115,3,1,acept,not furnished,3
1,206,3,1,acept,furnished,3
1,50,2,1,acept,not furnished,2
0,49,1,1,acept,not furnished,2
1,30,1,0,acept,not furnished,1
1,130,1,1,acept,not furnished,3
1,360,9,8,acept,not furnished,4
1,54,1,1,acept,not furnished,2
0,252,3,4,acept,not furnished,3
0,130,2,0,acept,not furnished,3
0,400,4,3,acept,not furnished,4
1,27,1,0,not acept,not furnished,1
1,45,1,1,not acept,not furnished,1
1,260,4,2,acept,furnished,4
1,74,3,2,acept,not furnished,2
1,59,2,0,not acept,not furnished,2
1,51,1,1,acept,not furnished,2
1,346,4,4,acept,not furnished,4
1,30,1,0,not acept,not furnished,1
1,58,1,1,acept,not furnished,2
0,65,1,1,acept,furnished,2
1,110,3,2,acept,not furnished,2
1,600,7,8,acept,furnished,5
1,35,1,0,acept,not furnished,1
1,65,1,0,not acept,not furnished,3
1,83,1,1,not acept,not furnished,2
1,100,2,0,not acept,not furnished,3
1,90,2,1,acept,not furnished,2
1,65,1,1,not acept,furnished,1
1,135,2,2,acept,not furnished,3
1,90,2,2,acept,not furnished,2
1,58,1,1,acept,not furnished,2
1,34,1,0,acept,not furnished,2
1,350,5,3,acept,not furnished,3
1,45,1,1,not acept,furnished,1
1,120,2,1,not acept,not furnished,3
0,45,1,1,not acept,not furnished,1
1,26,1,0,not acept,not furnished,1
1,137,1,1,not acept,furnished,4
1,200,2,1,acept,not furnished,2
1,20,1,0,acept,furnished,1
1,163,3,3,acept,furnished,3
1,32,1,1,not acept,not furnished,1
1,45,1,1,acept,not furnished,1
1,147,2,0,not acept,furnished,3
1,260,2,1,not acept,not furnished,3
1,36,1,1,acept,furnished,1
1,20,1,0,acept,furnished,1
1,112,2,2,acept,furnished,1
1,35,1,0,acept,furnished,1
1,280,4,2,acept,not furnished,3
1,137,2,1,not acept,not furnished,2
1,120,3,1,acept,not furnished,3
1,62,1,1,not acept,not furnished,3
1,70,2,0,acept,not furnished,2
1,78,2,2,acept,not furnished,3
1,39,1,1,not acept,furnished,1
0,90,3,2,acept,not furnished,3
1,121,3,1,acept,not furnished,2
1,97,3,2,acept,not furnished,3
1,130,2,2,acept,not furnished,2
0,46,1,1,acept,not furnished,2
1,93,2,2,acept,furnished,2
1,70,2,0,acept,not furnished,2
1,100,1,1,acept,not furnished,2
1,64,2,1,acept,not furnished,1
1,84,2,0,acept,not furnished,2
1,146,5,3,not acept,furnished,3
1,110,2,1,acept,not furnished,3
1,80,2,1,acept,furnished,1
1,280,4,4,acept,not furnished,3
1,180,3,2,acept,not furnished,4
1,20,1,0,not acept,furnished,1
1,70,1,1,acept,not furnished,3
1,54,1,1,not acept,not furnished,1
1,469,5,4,acept,not furnished,4
0,240,4,4,acept,not furnished,3
1,141,2,2,acept,not furnished,3
1,70,1,0,acept,not furnished,2
1,58,2,1,acept,furnished,1
1,160,2,2,acept,not furnished,3
0,348,3,3,acept,not furnished,3
1,68,1,1,acept,not furnished,2
0,58,2,2,not acept,furnished,2
1,138,3,2,acept,furnished,2
1,55,1,1,not acept,not furnished,1
0,170,2,2,acept,not furnished,3
1,400,7,4,acept,not furnished,3
0,188,4,0,acept,not furnished,5
1,240,4,2,acept,not furnished,3
1,23,1,0,acept,not furnished,1
1,48,2,1,acept,furnished,1
0,380,5,4,acept,not furnished,3
1,58,2,1,not acept,furnished,2
1,200,1,1,acept,not furnished,2
1,70,1,1,acept,furnished,2
1,126,2,1,acept,not furnished,2
1,218,4,2,not acept,not furnished,3
0,190,4,2,acept,not furnished,4
0,64,2,1,not acept,not furnished,1
1,420,4,4,acept,not furnished,4
1,42,1,0,acept,furnished,1
0,284,3,4,acept,furnished,4
1,108,2,2,acept,not furnished,3
1,95,1,1,acept,not furnished,2
1,217,3,3,acept,furnished,2
1,190,3,2,not acept,not furnished,3
0,150,2,1,acept,not furnished,2
1,75,2,0,acept,not furnished,1
1,40,1,0,not acept,not furnished,1
1,110,1,1,acept,not furnished,2
1,139,5,2,not acept,not furnished,4
1,30,1,0,acept,furnished,1
1,58,1,1,acept,not furnished,2
1,150,4,2,acept,not furnished,3
1,131,4,3,not acept,furnished,4
1,18,1,0,acept,not furnished,1
1,80,1,1,acept,not furnished,2
1,144,4,3,acept,furnished,3
1,85,1,0,acept,not furnished,2
1,76,2,1,acept,not furnished,2
1,370,3,4,acept,not furnished,5
0,100,1,0,acept,not furnished,2
1,260,5,0,acept,not furnished,3
1,220,4,2,acept,not furnished,3
1,273,3,1,acept,not furnished,3
1,107,2,1,not acept,not furnished,3
1,34,1,0,acept,not furnished,2
1,80,1,0,acept,furnished,2
1,550,5,0,acept,not furnished,4
1,60,3,2,acept,not furnished,3
1,45,1,1,acept,not furnished,2
1,170,2,3,acept,not furnished,4
1,200,4,3,acept,furnished,3
0,70,1,1,not acept,furnished,2
1,77,2,1,acept,not furnished,2
1,270,4,4,acept,furnished,4
1,339,5,4,acept,furnished,4
1,50,1,0,acept,not furnished,1
1,104,2,0,acept,furnished,2
1,68,2,1,not acept,furnished,2
1,240,4,3,acept,not furnished,4
1,45,1,1,not acept,furnished,1
1,189,3,3,acept,not furnished,4
1,43,1,0,acept,not furnished,1
1,35,1,1,acept,not furnished,1
1,200,3,2,acept,not furnished,3
1,250,5,8,acept,furnished,3
1,400,6,3,acept,not furnished,4
1,45,1,1,not acept,furnished,1
1,22,1,1,acept,not furnished,1
1,180,3,2,acept,not furnished,3
1,486,6,5,not acept,not furnished,4
1,72,2,2,acept,not furnished,3
1,830,2,2,acept,not furnished,2
1,52,1,1,acept,furnished,1
1,90,1,0,not acept,not furnished,1
0,165,2,1,acept,not furnished,3
1,71,2,1,acept,not furnished,2
1,65,2,2,acept,not furnished,2
0,260,5,5,acept,not furnished,3
1,140,1,0,acept,not furnished,2
1,200,2,3,acept,furnished,3
1,204,2,2,acept,not furnished,3
1,96,1,2,acept,not furnished,3
1,136,4,3,not acept,not furnished,3
1,156,2,1,acept,not furnished,3
0,98,1,1,acept,not furnished,1
1,150,3,3,acept,not furnished,3
1,200,3,5,acept,not furnished,3
1,31,1,0,acept,not furnished,2
1,136,2,2,acept,furnished,3
1,440,4,4,acept,furnished,4
1,110,3,1,not acept,not furnished,3
1,347,5,4,acept,not furnished,5
1,98,2,1,acept,furnished,3
1,600,3,3,acept,not furnished,3
1,53,2,1,not acept,furnished,2
0,58,2,2,acept,not furnished,1
1,162,2,3,acept,furnished,2
1,50,1,1,not acept,furnished,1
1,230,3,2,acept,furnished,5
1,93,4,2,acept,furnished,3
1,93,3,1,not acept,not furnished,1
1,20,1,0,acept,furnished,1
1,150,2,0,acept,not furnished,3
1,182,5,3,acept,not furnished,3
1,48,1,1,acept,not furnished,1
1,98,2,2,acept,not furnished,3
1,197,4,1,acept,not furnished,3
1,114,4,2,acept,not furnished,4
1,70,1,0,acept,not furnished,2
1,240,2,3,not acept,not furnished,5
1,55,1,0,acept,not furnished,1
1,90,3,1,acept,not furnished,3
1,106,2,1,acept,furnished,3
1,250,4,2,not acept,not furnished,3
1,168,2,4,not acept,not furnished,3
1,150,2,1,acept,not furnished,3
1,350,3,3,not acept,not furnished,3
1,23,1,1,acept,furnished,1
1,290,4,2,acept,furnished,4
1,160,3,0,acept,furnished,4
1,12,1,0,not acept,not furnished,1
1,280,4,2,acept,furnished,3
1,107,3,2,acept,not furnished,3
1,25,1,0,not acept,furnished,1
1,37,1,0,acept,not furnished,1
1,157,3,2,acept,not furnished,4
1,71,3,2,not acept,not furnished,2
1,130,3,2,acept,not furnished,4
1,300,4,7,not acept,not furnished,3
1,525,4,4,acept,not furnished,5
1,94,3,2,acept,not furnished,3
1,240,2,6,not acept,furnished,4
1,400,3,4,acept,not furnished,3
1,228,4,3,acept,furnished,3
1,395,4,3,acept,furnished,4
1,227,4,3,acept,not furnished,4
1,685,3,5,acept,not furnished,4
0,297,6,2,acept,not furnished,4
1,145,3,1,acept,not furnished,3
0,180,4,4,acept,not furnished,3
0,269,5,0,acept,not furnished,4
1,270,3,3,acept,not furnished,3
1,390,4,4,not acept,not furnished,3
1,200,5,2,not acept,furnished,2
1,330,4,2,acept,furnished,5
1,66,1,1,not acept,not furnished,1
1,290,3,3,acept,not furnished,5
1,45,1,0,not acept,not furnished,1
1,98,2,0,not acept,furnished,2
1,160,1,0,not acept,not furnished,2
1,80,1,1,not acept,not furnished,2
1,160,3,2,not acept,furnished,2
1,118,2,2,acept,not furnished,3
1,230,3,2,acept,not furnished,4
0,650,6,4,acept,not furnished,4
1,147,3,3,acept,furnished,3
1,138,1,0,acept,not furnished,3
1,102,2,2,acept,not furnished,2
0,57,1,1,acept,furnished,2
1,36,1,1,acept,furnished,1
1,248,4,4,acept,not furnished,3
1,190,2,3,acept,not furnished,4
0,60,1,1,acept,not furnished,2
1,309,7,8,acept,not furnished,4
1,884,7,6,acept,not furnished,5
0,40,1,0,acept,not furnished,1
1,80,2,1,acept,furnished,2
1,200,5,4,acept,not furnished,4
1,60,1,1,acept,not furnished,1
1,180,3,2,acept,not furnished,2
1,213,4,3,acept,not furnished,4
1,190,2,1,acept,not furnished,3
0,205,2,4,acept,not furnished,3
1,126,4,1,acept,not furnished,3
1,260,4,6,acept,furnished,4
0,66,1,1,acept,furnished,1
1,900,9,8,acept,not furnished,4
1,380,3,3,acept,not furnished,4
1,146,3,2,acept,not furnished,3
0,53,1,1,acept,not furnished,1
1,326,4,5,acept,furnished,3
1,230,2,0,acept,not furnished,3
1,123,3,2,not acept,furnished,3
1,30,1,0,not acept,not furnished,1
1,60,1,0,not acept,not furnished,2
1,200,2,1,acept,furnished,2
1,315,4,5,not acept,furnished,3
1,55,1,0,acept,not furnished,2
1,70,1,0,acept,not furnished,2
0,49,1,1,acept,not furnished,2
1,18,1,0,acept,not furnished,1
1,100,3,4,acept,not furnished,3
1,61,1,0,acept,not furnished,2
1,79,3,2,acept,not furnished,2
1,73,2,1,acept,not furnished,2
1,30,1,0,acept,not furnished,1
1,61,1,0,acept,not furnished,2
1,34,1,1,not acept,furnished,1
0,50,1,1,acept,not furnished,2
1,100,2,1,not acept,not furnished,2
1,55,1,1,not acept,furnished,1
1,100,3,1,acept,furnished,2
1,110,2,2,acept,not furnished,3
0,40,1,1,acept,not furnished,2
0,223,5,2,acept,not furnished,3
1,384,6,4,not acept,furnished,4
1,418,4,3,not acept,not furnished,2
1,380,1,0,acept,not furnished,4
1,225,3,2,acept,furnished,4
1,40,1,0,not acept,not furnished,1
1,74,2,2,acept,not furnished,2
1,185,3,2,acept,not furnished,3
0,70,2,0,not acept,not furnished,2
1,150,2,2,acept,not furnished,3
1,150,3,8,acept,not furnished,3
1,25,1,0,not acept,not furnished,1
1,320,4,4,acept,furnished,5
1,328,4,4,acept,furnished,3
1,179,4,3,acept,furnished,4
1,62,2,2,acept,not furnished,2
1,210,4,4,acept,not furnished,3
1,75,2,0,not acept,not furnished,2
0,76,2,2,acept,furnished,2
1,146,3,2,acept,furnished,3
1,55,2,1,acept,not furnished,2
1,165,4,4,acept,not furnished,4
0,96,2,2,acept,furnished,3
1,300,3,8,acept,furnished,3
1,287,2,5,acept,not furnished,3
1,35,1,0,not acept,not furnished,1
1,23,1,0,acept,not furnished,1
1,25,1,0,not acept,furnished,1
1,140,2,0,acept,furnished,3
0,147,2,3,acept,not furnished,3
1,90,1,0,acept,not furnished,2
1,224,5,3,acept,not furnished,4
0,170,2,2,acept,not furnished,3
1,126,4,3,acept,not furnished,3
1,72,2,1,not acept,furnished,2
1,45,1,1,acept,furnished,1
1,45,1,1,acept,not furnished,1
1,100,2,2,not acept,not furnished,3
1,152,2,1,acept,furnished,2
1,40,1,1,acept,not furnished,1
1,200,2,1,acept,not furnished,3
1,310,3,2,not acept,not furnished,3
1,20,1,0,not acept,furnished,1
1,200,2,2,acept,not furnished,3
1,76,2,1,acept,furnished,1
1,20,1,0,not acept,furnished,1
1,200,3,3,acept,not furnished,4
1,54,1,0,acept,not furnished,2
1,100,1,2,acept,furnished,1
1,90,2,0,not acept,not furnished,3
1,300,3,4,acept,not furnished,3
1,70,1,1,acept,not furnished,2
1,60,1,0,acept,not furnished,2
1,100,2,2,acept,furnished,2
1,270,4,2,acept,not furnished,3
1,90,1,1,not acept,not furnished,3
1,220,4,4,acept,not furnished,3
1,60,1,1,not acept,not furnished,1
1,56,1,0,acept,furnished,1
0,430,3,4,acept,not furnished,4
1,288,3,3,acept,not furnished,3
1,79,2,1,acept,furnished,2
1,341,3,2,acept,not furnished,3
1,60,2,1,acept,furnished,2
1,300,4,3,acept,not furnished,4
1,123,3,0,acept,not furnished,3
1,59,2,1,acept,not furnished,2
1,35,1,0,acept,not furnished,1
1,42,1,0,not acept,not furnished,1
1,55,1,1,acept,not furnished,1
1,38,1,0,not acept,not furnished,1
1,318,3,2,acept,furnished,5
1,60,1,0,not acept,not furnished,1
1,280,4,3,acept,furnished,3
1,195,3,3,not acept,not furnished,4
1,82,2,1,acept,not furnished,2
0,110,1,1,acept,not furnished,2
1,376,3,7,acept,not furnished,3
1,139,3,3,acept,not furnished,3
1,300,3,4,acept,not furnished,4
1,289,3,2,not acept,not furnished,3
1,100,1,2,acept,not furnished,2
1,65,2,1,not acept,not furnished,2
0,55,1,1,acept,not furnished,2
1,98,2,2,acept,not furnished,1
1,76,2,0,acept,not furnished,3
1,89,2,2,acept,not furnished,3
1,155,3,2,acept,not furnished,4
1,137,4,2,acept,not furnished,3
1,88,2,2,acept,furnished,2
0,102,3,1,acept,not furnished,3
1,300,4,2,acept,furnished,2
1,115,2,1,acept,not furnished,3
1,198,4,2,acept,furnished,3
1,57,2,1,acept,not furnished,2
0,185,3,2,acept,not furnished,3
1,62,1,1,acept,not furnished,2
1,86,3,0,acept,furnished,3
1,35,1,1,not acept,furnished,1
1,144,2,2,acept,not furnished,3
1,210,3,4,acept,not furnished,3
1,294,6,3,acept,not furnished,3
1,232,3,4,acept,furnished,4
1,260,2,3,acept,not furnished,4
1,100,5,2,not acept,not furnished,5
0,280,3,4,acept,not furnished,4
1,120,2,2,acept,furnished,1
1,90,2,1,acept,not furnished,3
1,500,3,5,acept,not furnished,3
1,200,2,2,acept,furnished,2
0,290,3,1,acept,not furnished,4
1,200,6,4,acept,not furnished,5
1,208,2,4,acept,not furnished,4
1,220,3,2,acept,not furnished,3
1,270,4,3,acept,not furnished,3
1,280,4,2,acept,not furnished,4
1,200,4,3,acept,not furnished,3
1,230,5,0,acept,furnished,4
0,47,1,1,acept,furnished,1
1,250,3,2,acept,furnished,3
1,400,5,4,acept,furnished,4
1,220,4,2,acept,not furnished,3
1,249,3,3,acept,not furnished,3
0,227,3,4,acept,not furnished,3
1,33,1,1,not acept,furnished,1
1,22,1,0,not acept,not furnished,1
0,97,1,0,acept,not furnished,1
1,61,1,0,not acept,not furnished,1
1,400,6,6,acept,furnished,3
1,280,3,3,acept,not furnished,4
0,60,1,2,acept,not furnished,1
1,55,1,1,acept,not furnished,2
0,100,2,8,acept,not furnished,3
1,64,2,1,acept,not furnished,2
1,70,2,0,not acept,furnished,2
1,250,2,1,acept,not furnished,2
1,40,1,1,not acept,furnished,1
1,73,2,1,acept,not furnished,2
1,140,2,2,not acept,furnished,3
1,37,1,0,not acept,not furnished,1
1,26,1,0,acept,furnished,1
1,84,2,2,not acept,furnished,2
1,32,1,1,acept,not furnished,1
1,200,4,2,acept,not furnished,6
1,187,4,3,acept,not furnished,3
1,45,1,1,acept,not furnished,1
0,100,2,3,acept,not furnished,3
1,130,2,3,acept,not furnished,3
0,75,1,2,acept,not furnished,2
1,123,2,2,not acept,not furnished,3
0,100,2,2,acept,furnished,3
1,500,4,7,not acept,not furnished,3
1,118,2,1,acept,furnished,3
1,600,3,4,acept,not furnished,4
1,80,1,1,not acept,not furnished,2
1,167,3,2,acept,not furnished,3
1,600,4,4,acept,not furnished,4
1,74,1,0,not acept,not furnished,2
1,380,7,4,acept,not furnished,5
1,100,1,0,not acept,not furnished,2
1,150,5,4,not acept,furnished,5
1,65,1,1,acept,furnished,2
1,35,1,0,acept,not furnished,1
1,330,6,3,acept,not furnished,4
1,100,2,1,acept,not furnished,2
1,156,4,3,acept,not furnished,3
1,80,2,2,acept,not furnished,3
1,50,2,1,acept,not furnished,2
1,40,1,1,acept,not furnished,1
1,142,4,3,acept,not furnished,3
1,110,2,3,acept,not furnished,3
1,70,2,1,acept,not furnished,2
1,76,2,2,acept,furnished,2
1,59,1,1,not acept,not furnished,2
1,100,2,0,acept,not furnished,3
0,88,2,2,acept,furnished,3
1,37,1,1,not acept,furnished,1
1,54,1,1,acept,not furnished,2
1,244,3,4,acept,not furnished,3
1,158,3,2,acept,furnished,3
1,65,2,2,acept,furnished,2
1,100,2,1,not acept,not furnished,3
1,42,1,1,acept,furnished,1
1,60,2,1,acept,furnished,2
1,164,4,3,acept,furnished,4
1,220,2,2,acept,not furnished,3
1,83,1,1,not acept,furnished,1
1,41,1,0,acept,not furnished,1
1,213,4,0,acept,furnished,3
1,43,1,0,acept,not furnished,1
1,123,1,0,acept,not furnished,2
1,750,7,7,acept,furnished,4
1,180,2,0,not acept,not furnished,2
1,33,1,0,acept,furnished,1
1,75,1,1,acept,not furnished,3
1,64,1,1,acept,furnished,1
1,500,6,3,acept,not furnished,4
1,440,4,2,acept,not furnished,3
1,220,4,3,not acept,not furnished,2
1,44,1,1,not acept,not furnished,1
1,530,6,4,acept,furnished,5
1,103,3,2,acept,furnished,2
1,22,1,0,acept,not furnished,1
1,400,4,4,acept,not furnished,3
1,56,1,0,acept,not furnished,1
1,39,1,0,not acept,not furnished,1
1,220,4,0,acept,furnished,4
1,35,1,1,not acept,not furnished,1
1,80,2,5,acept,not furnished,2
1,192,3,3,acept,furnished,3
1,33,1,0,not acept,not furnished,1
1,47,1,1,acept,not furnished,3
0,83,1,8,acept,not furnished,2
0,400,6,3,acept,not furnished,4
1,350,6,6,acept,not furnished,5
1,40,1,0,acept,not furnished,1
1,100,1,0,not acept,not furnished,2
1,363,5,4,not acept,not furnished,3
1,235,2,1,acept,not furnished,3
1,147,2,0,acept,not furnished,4
1,298,5,5,acept,not furnished,4
1,145,3,2,acept,not furnished,3
1,268,4,0,not acept,not furnished,4
0,73,2,2,acept,furnished,3
1,49,1,0,acept,not furnished,1
1,103,3,0,acept,not furnished,3
1,180,3,3,acept,not furnished,3
1,120,1,1,acept,not furnished,3
1,180,3,3,acept,furnished,2
